Asset,Asset Class,Mode,Frequency,Sharpe,Win Rate %,vs B&H %,Trades/yr,Max Drawdown %,Total Return %,B&H Return %
AAPL,stock,Signal-Only,Monthly,0.00,75.0,-43.10,0,0.00,0.00,43.10
MSFT,stock,Academic,Daily,5.65,72.1,554.51,52,3.75,570.71,16.20
MSFT,stock,Academic,Weekly,3.86,70.6,243.37,24,4.57,259.57,16.20
MSFT,stock,Academic,Monthly,1.48,85.2,44.21,5,10.61,60.41,16.20
MSFT,stock,Realistic,Daily,5.05,72.1,363.79,126,3.09,379.99,16.20
MSFT,stock,Realistic,Weekly,1.09,70.6,15.81,39,18.67,32.00,16.20
MSFT,stock,Realistic,Monthly,0.62,85.2,-4.99,10,10.95,11.21,16.20
MSFT,stock,Signal-Only,Daily,0.00,72.1,-16.20,0,0.00,0.00,16.20
MSFT,stock,Signal-Only,Weekly,0.00,70.6,-16.20,0,0.00,0.00,16.20
MSFT,stock,Signal-Only,Monthly,0.00,85.2,-16.20,0,0.00,0.00,16.20
GOOGL,stock,Academic,Daily,6.01,72.4,1443.99,41,4.20,1561.14,117.15
GOOGL,stock,Academic,Weekly,4.03,69.6,535.58,21,9.28,652.73,117.15
GOOGL,stock,Academic,Monthly,1.49,80.0,-16.62,6,15.38,100.53,117.15
GOOGL,stock,Realistic,Daily,5.36,72.4,877.49,113,4.20,994.64,117.15
GOOGL,stock,Realistic,Weekly,2.31,69.6,78.44,32,13.71,195.60,117.15
GOOGL,stock,Realistic,Monthly,1.30,80.0,-30.96,8,25.15,86.19,117.15
GOOGL,stock,Signal-Only,Daily,0.00,72.4,-117.15,0,0.00,0.00,117.15
GOOGL,stock,Signal-Only,Weekly,0.00,69.6,-117.15,0,0.00,0.00,117.15
GOOGL,stock,Signal-Only,Monthly,0.00,80.0,-117.15,0,0.00,0.00,117.15
AMZN,stock,Academic,Daily,5.27,70.1,1298.85,40,4.54,1359.21,60.36
AMZN,stock,Academic,Weekly,3.38,68.6,379.36,21,7.69,439.72,60.36
AMZN,stock,Academic,Monthly,1.53,76.0,52.00,5,14.51,112.36,60.36
AMZN,stock,Realistic,Daily,4.69,70.1,789.61,106,5.13,849.97,60.36
AMZN,stock,Realistic,Weekly,1.57,68.6,30.91,35,12.83,91.27,60.36
AMZN,stock,Realistic,Monthly,0.56,76.0,-34.12,9,23.92,26.24,60.36
AMZN,stock,Signal-Only,Daily,0.00,70.1,-60.36,0,0.00,0.00,60.36
AMZN,stock,Signal-Only,Weekly,0.00,68.6,-60.36,0,0.00,0.00,60.36
AMZN,stock,Signal-Only,Monthly,0.00,76.0,-60.36,0,0.00,0.00,60.36
NVDA,stock,Academic,Daily,6.12,72.8,10681.60,48,7.27,10983.86,302.25
NVDA,stock,Academic,Weekly,4.08,77.8,2048.12,20,9.73,2350.37,302.25
NVDA,stock,Academic,Monthly,1.90,70.8,24.36,5,23.49,326.61,302.25
NVDA,stock,Realistic,Daily,5.44,72.8,4465.46,111,6.91,4767.71,302.25
NVDA,stock,Realistic,Weekly,2.19,77.8,145.04,29,17.08,447.29,302.25
NVDA,stock,Realistic,Monthly,1.30,70.8,-148.46,8,29.63,153.79,302.25
NVDA,stock,Signal-Only,Daily,0.00,72.8,-302.25,0,0.00,0.00,302.25
NVDA,stock,Signal-Only,Weekly,0.00,77.8,-302.25,0,0.00,0.00,302.25
NVDA,stock,Signal-Only,Monthly,0.00,70.8,-302.25,0,0.00,0.00,302.25
META,stock,Academic,Daily,5.00,69.4,1942.78,49,7.02,2033.20,90.42
META,stock,Academic,Weekly,3.52,74.3,643.58,21,7.30,734.00,90.42
META,stock,Academic,Monthly,1.45,88.0,33.70,4,18.43,124.12,90.42
META,stock,Realistic,Daily,4.31,69.4,1189.78,116,7.57,1280.20,90.42
META,stock,Realistic,Weekly,1.89,74.3,48.71,36,15.54,139.13,90.42
META,stock,Realistic,Monthly,1.00,88.0,-25.67,7,25.11,64.75,90.42
META,stock,Signal-Only,Daily,0.00,69.4,-90.42,0,0.00,0.00,90.42
META,stock,Signal-Only,Weekly,0.00,74.3,-90.42,0,0.00,0.00,90.42
META,stock,Signal-Only,Monthly,0.00,88.0,-90.42,0,0.00,0.00,90.42
TSLA,stock,Academic,Daily,5.38,71.9,16972.51,51,9.25,17045.81,73.30
TSLA,stock,Academic,Weekly,2.76,69.4,1317.15,22,23.00,1390.45,73.30
TSLA,stock,Academic,Monthly,2.15,64.3,286.10,6,17.96,359.40,73.30
TSLA,stock,Realistic,Daily,4.70,71.9,6385.76,123,6.55,6459.06,73.30
TSLA,stock,Realistic,Weekly,1.77,69.4,274.77,35,23.71,348.07,73.30
TSLA,stock,Realistic,Monthly,1.46,64.3,-28.01,8,10.50,45.29,73.30
TSLA,stock,Signal-Only,Daily,0.00,71.9,-73.30,0,0.00,0.00,73.30
TSLA,stock,Signal-Only,Weekly,0.00,69.4,-73.30,0,0.00,0.00,73.30
TSLA,stock,Signal-Only,Monthly,0.00,64.3,-73.30,0,0.00,0.00,73.30
AMD,stock,Academic,Daily,5.16,68.7,10554.40,47,8.99,10652.69,98.29
AMD,stock,Academic,Weekly,3.54,71.0,2315.88,26,18.17,2414.17,98.29
AMD,stock,Academic,Monthly,0.81,60.7,-29.77,7,48.31,68.51,98.29
AMD,stock,Realistic,Daily,4.80,68.7,4851.58,117,8.77,4949.87,98.29
AMD,stock,Realistic,Weekly,1.74,71.0,163.94,40,28.90,262.23,98.29
AMD,stock,Realistic,Monthly,0.73,60.7,-50.82,10,45.73,47.47,98.29
AMD,stock,Signal-Only,Daily,0.00,68.7,-98.29,0,0.00,0.00,98.29
AMD,stock,Signal-Only,Weekly,0.00,71.0,-98.29,0,0.00,0.00,98.29
AMD,stock,Signal-Only,Monthly,0.00,60.7,-98.29,0,0.00,0.00,98.29
AVGO,stock,Academic,Daily,5.56,72.9,10558.35,48,6.04,10818.52,260.17
AVGO,stock,Academic,Weekly,3.62,76.7,2011.86,22,14.10,2272.03,260.17
AVGO,stock,Academic,Monthly,1.48,71.4,-52.35,7,21.53,207.83,260.17
AVGO,stock,Realistic,Daily,4.83,72.9,4797.95,126,7.44,5058.12,260.17
AVGO,stock,Realistic,Weekly,1.84,76.7,73.90,33,20.92,334.07,260.17
AVGO,stock,Realistic,Monthly,1.17,71.4,-112.33,10,33.32,147.84,260.17
AVGO,stock,Signal-Only,Daily,0.00,72.9,-260.17,0,0.00,0.00,260.17
AVGO,stock,Signal-Only,Weekly,0.00,76.7,-260.17,0,0.00,0.00,260.17
AVGO,stock,Signal-Only,Monthly,0.00,71.4,-260.17,0,0.00,0.00,260.17
NFLX,stock,Academic,Daily,5.50,73.1,1613.10,42,3.75,1733.42,120.32
NFLX,stock,Academic,Weekly,4.46,73.2,820.61,23,6.45,940.93,120.32
NFLX,stock,Academic,Monthly,1.06,87.0,-72.75,5,15.18,47.57,120.32
NFLX,stock,Realistic,Daily,4.93,73.1,1081.20,98,3.75,1201.53,120.32
NFLX,stock,Realistic,Weekly,2.78,73.2,107.70,37,11.19,228.03,120.32
NFLX,stock,Realistic,Monthly,1.05,87.0,-87.05,8,11.13,33.27,120.32
NFLX,stock,Signal-Only,Daily,0.00,73.1,-120.32,0,0.00,0.00,120.32
NFLX,stock,Signal-Only,Weekly,0.00,73.2,-120.32,0,0.00,0.00,120.32
NFLX,stock,Signal-Only,Monthly,0.00,87.0,-120.32,0,0.00,0.00,120.32
CRM,stock,Academic,Daily,5.77,73.3,1753.84,45,5.62,1748.95,-4.88
CRM,stock,Academic,Weekly,3.73,71.3,518.33,23,8.55,513.44,-4.88
CRM,stock,Academic,Monthly,1.38,74.1,112.35,6,24.18,107.47,-4.88
CRM,stock,Realistic,Daily,4.77,73.3,866.39,112,4.89,861.51,-4.88
CRM,stock,Realistic,Weekly,1.45,71.3,91.16,38,21.13,86.28,-4.88
CRM,stock,Realistic,Monthly,0.56,74.1,23.55,10,21.81,18.67,-4.88
CRM,stock,Signal-Only,Daily,0.00,73.3,4.88,0,0.00,0.00,-4.88
CRM,stock,Signal-Only,Weekly,0.00,71.3,4.88,0,0.00,0.00,-4.88
CRM,stock,Signal-Only,Monthly,0.00,74.1,4.88,0,0.00,0.00,-4.88
ARM,stock,Academic,Daily,4.16,73.5,130.51,55,9.47,127.03,-3.48
ARM,stock,Academic,Weekly,2.77,76.7,86.32,18,12.29,82.84,-3.48
ARM,stock,Academic,Monthly,1.72,85.7,46.06,7,12.29,42.59,-3.48
ARM,stock,Realistic,Daily,3.86,73.5,113.22,114,9.31,109.74,-3.48
ARM,stock,Realistic,Weekly,1.39,76.7,29.95,34,17.33,26.48,-3.48
ARM,stock,Realistic,Monthly,1.46,85.7,18.74,12,8.85,15.27,-3.48
ARM,stock,Signal-Only,Daily,0.00,73.5,3.48,0,0.00,0.00,-3.48
ARM,stock,Signal-Only,Weekly,0.00,76.7,3.48,0,0.00,0.00,-3.48
ARM,stock,Signal-Only,Monthly,0.00,85.7,3.48,0,0.00,0.00,-3.48
INTC,stock,Academic,Daily,4.82,69.9,9878.16,35,5.92,9908.25,30.10
INTC,stock,Academic,Weekly,3.08,66.7,1848.22,21,21.78,1878.31,30.10
INTC,stock,Academic,Monthly,1.21,80.0,99.36,6,21.78,129.45,30.10
INTC,stock,Realistic,Daily,4.12,69.9,4038.78,100,12.49,4068.88,30.10
INTC,stock,Realistic,Weekly,1.11,66.7,90.21,37,44.51,120.31,30.10
INTC,stock,Realistic,Monthly,0.98,80.0,25.89,7,16.52,55.99,30.10
INTC,stock,Signal-Only,Daily,0.00,69.9,-30.10,0,0.00,0.00,30.10
INTC,stock,Signal-Only,Weekly,0.00,66.7,-30.10,0,0.00,0.00,30.10
INTC,stock,Signal-Only,Monthly,0.00,80.0,-30.10,0,0.00,0.00,30.10
QCOM,stock,Academic,Daily,5.74,72.9,1992.21,52,3.93,2011.65,19.44
QCOM,stock,Academic,Weekly,3.03,71.0,460.59,22,12.21,480.03,19.44
QCOM,stock,Academic,Monthly,0.78,88.5,25.79,4,26.52,45.23,19.44
QCOM,stock,Realistic,Daily,4.73,72.9,974.13,128,4.73,993.57,19.44
QCOM,stock,Realistic,Weekly,1.20,71.0,66.91,34,22.58,86.35,19.44
QCOM,stock,Realistic,Monthly,0.08,88.5,-23.07,10,33.31,-3.63,19.44
QCOM,stock,Signal-Only,Daily,0.00,72.9,-19.44,0,0.00,0.00,19.44
QCOM,stock,Signal-Only,Weekly,0.00,71.0,-19.44,0,0.00,0.00,19.44
QCOM,stock,Signal-Only,Monthly,0.00,88.5,-19.44,0,0.00,0.00,19.44
TSM,stock,Academic,Daily,6.22,72.7,5036.01,54,4.80,5295.67,259.66
TSM,stock,Academic,Weekly,4.16,76.1,1101.34,28,8.48,1361.00,259.66
TSM,stock,Academic,Monthly,1.99,80.8,7.69,6,19.11,267.35,259.66
TSM,stock,Realistic,Daily,5.49,72.7,2343.91,131,4.65,2603.57,259.66
TSM,stock,Realistic,Weekly,2.38,76.1,60.01,38,13.71,319.67,259.66
TSM,stock,Realistic,Monthly,1.42,80.8,-118.77,10,22.91,140.89,259.66
TSM,stock,Signal-Only,Daily,0.00,72.7,-259.66,0,0.00,0.00,259.66
TSM,stock,Signal-Only,Weekly,0.00,76.1,-259.66,0,0.00,0.00,259.66
TSM,stock,Signal-Only,Monthly,0.00,80.8,-259.66,0,0.00,0.00,259.66
JPM,stock,Academic,Daily,5.95,72.4,693.81,34,4.93,798.09,104.28
JPM,stock,Academic,Weekly,4.45,73.3,324.77,19,5.44,429.05,104.28
JPM,stock,Academic,Monthly,1.68,73.1,-25.80,6,11.15,78.48,104.28
JPM,stock,Realistic,Daily,5.22,72.4,439.79,92,4.93,544.07,104.28
JPM,stock,Realistic,Weekly,2.00,73.3,5.01,32,13.42,109.29,104.28
JPM,stock,Realistic,Monthly,0.65,73.1,-92.38,8,12.23,11.89,104.28
JPM,stock,Signal-Only,Daily,0.00,72.4,-104.28,0,0.00,0.00,104.28
JPM,stock,Signal-Only,Weekly,0.00,73.3,-104.28,0,0.00,0.00,104.28
JPM,stock,Signal-Only,Monthly,0.00,73.1,-104.28,0,0.00,0.00,104.28
GS,stock,Academic,Daily,5.54,69.0,1066.21,42,3.64,1239.23,173.03
