asset,asset_class,total_signals,buy_signals,sell_signals,hold_signals,buy_accuracy,sell_accuracy,overall_accuracy,avg_confidence,trained_date
USDSGD=X,fx,168,0,120,48,0.0,0.0,0.0,15.30,2026-03-19T01:39:26.250197640+00:00
USDTHB=X,fx,168,0,88,80,0.0,0.0,0.0,11.59,2026-03-19T01:39:26.250197640+00:00
USDTWD=X,fx,168,0,0,168,0.0,0.0,0.0,6.26,2026-03-19T01:39:26.250197640+00:00
V,stock,76,0,17,59,0.0,0.0,0.0,10.16,2026-03-19T01:39:26.250197640+00:00
WFC,stock,76,0,56,20,0.0,0.0,0.0,12.88,2026-03-19T01:39:26.250197640+00:00
WMT,stock,76,0,0,76,0.0,0.0,0.0,3.33,2026-03-19T01:39:26.250197640+00:00
XLE,stock,76,0,0,76,0.0,0.0,0.0,3.73,2026-03-19T01:39:26.250197640+00:00
XLF,stock,76,0,45,31,0.0,0.0,0.0,14.35,2026-03-19T01:39:26.250197640+00:00
XLI,stock,76,17,0,59,0.0,0.0,0.0,6.54,2026-03-19T01:39:26.250197640+00:00
XLV,stock,76,0,1,75,0.0,0.0,0.0,1.95,2026-03-19T01:39:26.250197640+00:00
XOM,stock,76,14,0,62,0.0,0.0,0.0,6.53,2026-03-19T01:39:26.250197640+00:00
cardano,crypto,188,0,0,188,0.0,0.0,0.0,0.00,2026-03-19T01:39:26.250197640+00:00
dogecoin,crypto,188,0,112,76,0.0,0.0,0.0,1.17,2026-03-19T01:39:26.250197640+00:00
solana,crypto,188,0,0,188,0.0,0.0,0.0,0.00,2026-03-19T01:39:26.250197640+00:00
